index,label
697,4
698,4
699,4
700,0
701,3
702,4
703,4
704,4
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,4
713,4
714,3
715,4
716,3
717,2
718,4
719,4
720,2
721,4
722,4
723,2
724,4
725,4
726,2
727,4
728,4
729,4
730,4
731,4
732,4
733,4
734,6
735,4
736,3
737,4
738,4
739,4
740,3
741,4
742,4
743,4
744,6
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,2
754,4
755,4
756,4
757,2
758,4
759,4
760,4
761,4
762,2
763,4
764,0
765,2
766,3
767,4
768,4
769,2
770,4
771,4
772,4
773,7
774,4
775,1
776,2
777,2
778,4
779,4
780,3
781,4
782,3
783,1
784,4
785,4
786,4
787,4
788,4
789,4
790,0
791,4
792,4
793,4
794,4
795,2
796,4
797,4
798,4
799,4
800,4
801,4
802,3
803,4
804,4
805,4
806,2
807,4
808,4
809,1
810,4
811,4
812,2
813,4
814,4
815,3
816,4
817,4
818,2
819,4
820,4
821,4
822,4
823,4
824,4
825,4
826,4
827,4
828,4
829,6
830,6
831,0
832,2
833,4
834,2
835,4
836,4
837,4
838,4
839,4
840,4
841,4
842,4
843,4
844,4
845,4
846,4
847,4
848,4
849,4
850,4
851,0
852,4
853,4
854,4
855,4
856,4
857,4
858,4
859,4
860,2
861,4
862,4
863,6
864,4
865,4
866,4
867,4
868,4
869,4
870,4
871,4
872,4
873,4
874,2
875,4
876,4
877,2
878,4
879,2
880,4
881,4
882,4
883,4
884,4
885,5
886,4
887,0
888,4
889,4
890,4
891,4
892,4
893,3
894,0
895,6
896,4
897,3
898,4
899,4
900,4
901,4
902,4
903,4
904,4
905,4
906,1
907,4
908,4
909,4
910,7
911,4
912,4
913,4
914,5
915,5
916,0
917,4
918,0
919,4
920,4
921,3
922,4
923,3
924,4
925,4
926,3
927,4
928,4
929,4
930,4
931,2
932,4
933,4
934,4
935,6
936,4
937,4
938,2
939,4
940,4
941,4
942,4
943,4
944,4
945,4
946,2
947,4
948,4
949,4
950,4
951,4
952,4
953,4
954,4
955,4
956,4
957,6
958,4
959,4
960,4
961,1
962,4
963,4
964,3
965,4
966,4
967,4
968,4
969,7
970,4
971,4
972,4
973,4
974,4
975,4
976,4
977,4
978,4
979,4
980,1
981,4
982,4
983,4
984,4
985,4
986,4
987,4
988,4
989,4
990,6
991,4
992,4
993,4
994,6
995,4
996,4
997,6
998,4
999,4
1000,5
1001,4
1002,4
1003,2
1004,4
1005,2
1006,1
1007,6
1008,4
1009,4
1010,4
1011,4
1012,4
1013,4
1014,4
1015,4
1016,4
1017,0
1018,4
1019,5
1020,4
1021,4
1022,4
1023,0
1024,2
1025,4
1026,4
1027,4
1028,4
1029,7
1030,4
1031,4
1032,4
1033,4
1034,4
1035,4
1036,4
1037,4
1038,4
1039,4
1040,4
1041,2
1042,4
1043,4
1044,6
1045,4
1046,4
1047,4
1048,2
1049,4
1050,5
1051,4
1052,6
1053,4
1054,4
1055,4
1056,4
1057,2
1058,4
1059,0
1060,6
1061,4
1062,4
1063,4
1064,1
1065,5
1066,4
1067,0
1068,4
1069,4
1070,3
1071,4
1072,4
1073,4
1074,6
1075,4
1076,2
1077,4
1078,4
1079,4
1080,4
1081,4
1082,4
1083,4
1084,2
1085,4
1086,4
1087,6
1088,4
1089,2
1090,4
1091,4
1092,4
1093,2
1094,4
1095,0
1096,4
1097,3
1098,4
1099,4
1100,4
1101,4
1102,3
1103,4
1104,4
1105,4
1106,7
1107,4
1108,4
1109,6
1110,4
1111,4
1112,4
1113,6
1114,4
1115,4
1116,4
1117,4
1118,4
1119,4
1120,4
1121,4
1122,4
1123,4
1124,4
1125,4
1126,4
1127,4
1128,4
1129,2
1130,4
1131,4
1132,4
1133,4
1134,4
1135,4
1136,4
1137,4
1138,4
1139,4
1140,4
1141,4
1142,4
1143,4
1144,4
1145,3
1146,5
1147,0
1148,4
1149,4
1150,4
1151,4
1152,4
1153,4
1154,4
1155,2
1156,4
1157,2
1158,4
1159,4
1160,4
1161,4
1162,4
1163,4
1164,4
1165,4
1166,4
1167,4
1168,4
1169,2
1170,4
1171,2
1172,4
1173,3
1174,7
1175,2
1176,6
1177,5
1178,0
1179,4
1180,4
1181,2
1182,6
1183,4
1184,4
1185,4
1186,3
1187,4
1188,4
1189,4
1190,4
1191,4
1192,4
1193,4
1194,1
1195,4
1196,4
1197,4
1198,4
1199,4
1200,4
1201,2
1202,4
1203,4
1204,4
1205,4
1206,4
1207,4
1208,4
